Al,Si,Ti,Cr,Mn,Fe,Ni,Co,Cu,Zn,Zr,Nb,Mo,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Au,Pb,Th,anomaly_score,anomaly
2.7,2.33,4.506,7.19,7.26,7.874,8.908,8.9,8.96,7.14,6.511,8.57,10.22,4.047,7.31,6.697,3.51,6.146,6.689,6.64,7.01,7.353,5.244,7.901,8.219,8.551,8.795,9.066,9.32,6.57,9.841,13.31,16.65,19.25,19.32,11.34,11.724,-1,Anomaly
3.95,2.65,4.23,5.22,5.03,5.24,6.67,6.11,6.31,5.61,5.68,4.6,4.69,8.15,6.95,5.2,5.72,6.51,7.22,6.5,7.24,8.35,7.4,7.41,7.3,7.8,8.41,8.64,8.6,9.17,9.42,9.68,8.2,10.8,11.34,9.53,10.0,-1,Anomaly
0.53,0.47,0.6,0.68,0.63,0.7,0.79,0.73,0.8,0.8,0.74,0.7,0.67,0.88,0.79,0.84,0.9,0.85,0.81,0.83,0.86,0.86,0.86,0.87,0.85,0.87,0.87,0.87,0.88,0.88,0.88,0.85,0.82,0.85,0.45,0.93,0.88,-1,Anomaly
